"time";"value";"event"
1;0,425313807448468;FALSE
2;0,0775791403725266;FALSE
3;-0,149222602490822;FALSE
4;4,62600199317315;TRUE
5;-0,265297255171481;FALSE
6;-0,709950582609011;FALSE
7;0,271386606807654;FALSE
8;-0,0489825345369089;FALSE
9;-0,230207516280195;FALSE
10;-0,329346397115148;FALSE
11;0,0689418784862084;FALSE
12;0,360558623805729;FALSE
13;0,102211023982458;FALSE
14;0,60574153276924;FALSE
15;0,185324521182842;FALSE
16;-0,0300016507434355;FALSE
17;-0,21226149942822;FALSE
18;-0,65032187015757;FALSE
19;-0,146609794217835;FALSE
20;0,208010632945524;FALSE
21;4,639386272343;TRUE
22;0,120417161413432;FALSE
23;-0,549711404753982;FALSE
24;0,145322527391655;FALSE
25;-0,520698751843701;FALSE
26;-0,340155385562624;FALSE
27;0,715782485135847;FALSE
28;0,397758171989109;FALSE
29;0,635397395766426;FALSE
30;-0,02813298987785;FALSE
31;-0,265726950833984;FALSE
32;0,192561805796123;FALSE
33;0,450804418824826;FALSE
34;-0,186262998686836;FALSE
35;-0,617050412721022;FALSE
36;0,267040128354574;FALSE
37;0,518362854300195;FALSE
38;0,779661091117904;FALSE
39;-0,207337703853539;FALSE
40;-0,0280458624620179;FALSE
41;-0,312761984461846;FALSE
42;-0,0319119410842735;FALSE
43;-0,270926977570185;FALSE
44;0,409261034061494;FALSE
45;-4,34599201879584;TRUE
46;-0,332008554970291;FALSE
47;0,38634410088742;FALSE
48;-0,287208473833447;FALSE
49;-0,46070839778872;FALSE
50;0,775264267532206;FALSE
51;-0,00668844219617702;FALSE
52;-0,236033647217663;FALSE
53;-0,230406728551188;FALSE
54;0,45669188240231;FALSE
55;-0,647992627092051;FALSE
56;0,491069431934107;FALSE
57;0,488212209234509;FALSE
58;-0,403169726609871;FALSE
59;-0,230357405625102;FALSE
60;-0,51735708350079;FALSE
61;0,367352161048938;FALSE
62;-0,287440801158381;FALSE
63;-0,487191971934342;FALSE
64;-0,114780936979752;FALSE
65;0,338634171690527;FALSE
66;0,280065907742365;FALSE
67;-0,168043954365098;FALSE
68;-0,182980608665588;FALSE
69;0,380273804312034;FALSE
70;-0,0319328759988088;FALSE
71;0,0672942369100507;FALSE
72;-0,19215983761666;FALSE
73;-0,00855052360016781;FALSE
74;-0,400280486360074;FALSE
75;0,407115912472543;FALSE
76;-0,133093237278099;FALSE
77;0,41752571195361;FALSE
78;1,18465508779454;FALSE
79;1,14068047636666;FALSE
80;0,505928417119151;FALSE
81;0,597431217875598;FALSE
82;0,17015835493917;FALSE
83;-0,425507543923679;FALSE
84;-0,0802145043234161;FALSE
85;0,177238627933838;FALSE
86;-0,334119391930064;FALSE
87;-0,0686117441780325;FALSE
88;0,0694852232353568;FALSE
89;0,121983437779295;FALSE
90;-0,238746062206421;FALSE
91;-0,0396863349282144;FALSE
92;0,251237096284582;FALSE
93;0,256500760023361;FALSE
94;-0,0611696381618207;FALSE
95;-0,378408229821468;FALSE
96;0,498258259511031;FALSE
97;0,12034763963178;FALSE
98;0,53230051494116;FALSE
99;4,48570117925716;TRUE
100;0,159227713067589;FALSE
