"time";"value";"event"
1;0,234211527137542;FALSE
2;0,28378640700381;FALSE
3;-0,0437213258724216;FALSE
4;-0,181398869385105;FALSE
5;0,242354982336157;FALSE
6;-0,727182387081492;FALSE
7;0,252039420427356;FALSE
8;-0,110473642090086;FALSE
9;-0,113663897577348;FALSE
10;-0,367728800989651;FALSE
11;-0,0464991225408008;FALSE
12;0,726924817481687;FALSE
13;0,148251145703182;FALSE
14;0,208086583021983;FALSE
15;-0,300212797800933;FALSE
16;0,326759935808233;FALSE
17;-0,354543008497285;FALSE
18;-0,132631035977021;FALSE
19;0,448285060667822;FALSE
20;0,119489479706917;FALSE
21;0,31184876982213;FALSE
22;0,582314032990745;FALSE
23;-0,257731371692521;FALSE
24;-0,621254962091875;FALSE
25;-0,639083806678525;FALSE
26;0,72203900752433;FALSE
27;-0,192658945477855;FALSE
28;0,248151920519369;FALSE
29;0,24484939706034;FALSE
30;-0,0649243907672503;FALSE
31;0,324749271421544;FALSE
32;0,878733418539014;FALSE
33;0,819676134962477;FALSE
34;0,652978255792187;FALSE
35;0,101708477125622;FALSE
36;0,196475311709024;FALSE
37;-0,129634631494847;FALSE
38;-0,664820097543454;FALSE
39;0,707093540349187;FALSE
40;0,0103204194591233;FALSE
41;0,451404333436071;FALSE
42;-0,952143224558817;FALSE
43;-0,424106220861013;FALSE
44;0,374856216073163;FALSE
45;0,341780688132222;FALSE
46;4,58429176124164;TRUE
47;-0,565239511155678;FALSE
48;0,226961301369793;FALSE
49;0,233275061374274;FALSE
50;-0,52271953338577;FALSE
51;-0,216154429544842;FALSE
52;0,779077065892816;FALSE
53;0,0214361081429818;FALSE
54;0,140665136222095;FALSE
55;-0,268390615597575;FALSE
56;0,111181477922457;FALSE
57;0,276468509149953;FALSE
58;0,329518131482434;FALSE
59;0,858026008192116;FALSE
60;-0,938777591345349;FALSE
61;0,0598367922460835;FALSE
62;-0,537012592691818;FALSE
63;0,221321230201559;FALSE
64;0,635985137078164;FALSE
65;-0,23475183775484;FALSE
66;-0,73295092248376;FALSE
67;0,355255773060807;FALSE
68;0,63739538894251;FALSE
69;0,206741868264955;FALSE
70;-0,51826867211793;FALSE
71;0,0218462301317502;FALSE
72;-0,313859749276618;FALSE
73;-0,419741127582506;FALSE
74;0,932204784961885;FALSE
75;0,561082153146973;FALSE
76;0,37704034027661;FALSE
77;0,330503314860972;FALSE
78;-0,324616196076433;FALSE
79;0,190499312301462;FALSE
80;0,408503362992437;FALSE
81;0,258153229682431;FALSE
82;0,417257420620576;FALSE
83;-0,121747645077465;FALSE
84;0,990844366785188;FALSE
85;0,388488269214978;FALSE
86;0,746839673826688;FALSE
87;0,268816987605915;FALSE
88;-0,123181352334935;FALSE
89;0,214609486684349;FALSE
90;0,32994802614067;FALSE
91;-0,385560591605521;FALSE
92;-0,342033004439916;FALSE
93;0,754778776810265;FALSE
94;-0,156727748798073;FALSE
95;-0,392253179579994;FALSE
96;0,274932840222817;FALSE
97;-0,202017407008358;FALSE
98;0,863087926602566;FALSE
99;-0,239919025529934;FALSE
100;-0,2778186773083;FALSE
